Time 1 - Nome,Time 1 - Vitoria,Time 1 - Empate,Time 1 - Derrota,Time 2 - Nome,Time 2 - Vitoria,Time 2 - Empate,Time 2 - Derrota
CENTRAL CÓRDOBA,1,1,0,FLAMENGO/RJ,0,1,1
GUABIRA,0,1,0,ORIENTE PETROLERO,0,1,0
RIOGRANDENSE/RS,0,1,0,PELOTAS/RS,0,1,0
GREMIO PRUDENTE/SP,1,0,2,SANTOS/SP,2,0,1
GREMIO PRUDENTE/SP,0,0,1,CRUZEIRO/MG,1,0,0
GREMIO PRUDENTE/SP,0,0,1,GUARANI/SP,1,0,0
GREMIO PRUDENTE/SP,0,0,1,BOTAFOGO/RJ,1,0,0
GREMIO PRUDENTE/SP,0,0,1,ATLETICO/GO,1,0,0
GREMIO PRUDENTE/SP,2,0,0,GOIAS/GO,0,0,2
GREMIO PRUDENTE/SP,0,1,0,FLUMINENSE/RJ,0,1,0
GREMIO PRUDENTE/SP,1,0,1,ATLETICO/MG,1,0,1
GREMIO PRUDENTE/SP,1,0,0,SANTO ANDRE/SP,0,0,1
GREMIO PRUDENTE/SP,0,0,1,INTERNACIONAL/RS,1,0,0
GREMIO PRUDENTE/SP,0,2,0,CEARA/CE,0,2,0
GREMIO PRUDENTE/SP,0,0,2,CORINTHIANS/SP,2,0,0
GREMIO PRUDENTE/SP,0,0,1,VASCO DA GAMA/RJ,1,0,0
GREMIO PRUDENTE/SP,1,0,0,GREMIO/RS,0,0,1
GREMIO PRUDENTE/SP,0,0,2,SAO PAULO/SP,2,0,0
GREMIO PRUDENTE/SP,0,0,1,AVAI/SC,1,0,0
GREMIO PRUDENTE/SP,0,0,1,FLAMENGO/RJ,1,0,0
GREMIO PRUDENTE/SP,0,1,0,PALMEIRAS/SP,0,1,0
GREMIO PRUDENTE/SP,0,0,1,ATHLETICO/PR,1,0,0
GREMIO PRUDENTE/SP,0,1,1,VITORIA/BA,1,1,0
GREMIO PRUDENTE/SP,0,0,1,SAO BERNARDO/SP,1,0,0
QATAR,0,0,1,ARGENTINA,1,0,0
QATAR,0,1,0,PARAGUAI,0,1,0
CAMPINAS/SP,2,0,0,CAMPO LIMPO/SP,0,0,2
CAMPINAS/SP,0,0,1,VOTUPORANGA/SP,1,0,0
CAMPINAS/SP,1,1,0,ATIBAIA/SP,0,1,1
SAO FRANCISCO/PA,0,1,0,SANTA CRUZ/PA,0,1,0
SAO FRANCISCO/PA,0,1,0,REMO/PA,0,1,0
SAO FRANCISCO/PA,1,0,0,GAVIAO/PA,0,0,1
SAO FRANCISCO/PA,0,1,0,SAO RAIMUNDO/PA,0,1,0
SAO FRANCISCO/PA,0,3,2,PAYSANDU/PA,2,3,0
SAO FRANCISCO/PA,1,0,0,PARAGOMINAS/PA,0,0,1
CRUZEIRO,1,0,0,OSASCO,0,0,1
CRUZEIRO,0,1,0,JUVENTUS,0,1,0
CRUZEIRO,1,0,0,BATATAIS,0,0,1
CRUZEIRO,1,0,0,PORTUGUESA,0,0,1
PALMEIRINHA/SP,0,1,0,PENAPOLENSE/SP,0,1,0
ALAVES,1,0,0,ATLETICO MADRID,0,0,1
ALAVES,0,1,0,REAL BETIS,0,1,0
ALAVES,0,1,0,GIRONA,0,1,0
IPITANGA/BA,0,2,0,COLO COLO/BA,0,2,0
IPITANGA/BA,1,0,0,FLUMINENSE/BA,0,0,1
IPITANGA/BA,1,0,0,BAHIA/BA,0,0,1
THE STRONGEST,1,0,0,ATHLETICO/PR,0,0,1
THE STRONGEST,1,0,1,SANTOS/SP,1,0,1
THE STRONGEST,0,0,1,FLUMINENSE/RJ,1,0,0
THE STRONGEST,0,0,1,CEARA/CE,1,0,0
THE STRONGEST,0,1,0,CARACAS,0,1,0
THE STRONGEST,1,0,0,GREMIO/RS,0,0,1
THE STRONGEST,1,0,0,RIVER PLATE,0,0,1
CAMPO LIMPO/SP,0,0,2,CAMPINAS/SP,2,0,0
OPERARIO/MT,0,1,0,CUIABA ESPORTE CL/MT,0,1,0
NOROESTE,0,0,2,INTERNACIONAL,2,0,0
NOROESTE,0,0,1,BAHIA,1,0,0
NOROESTE,0,0,1,PARANA,1,0,0
NOROESTE,1,0,0,CORITIBA,0,0,1
UNIAO BANDEIRANTE/PR,0,0,1,ATHLETICO/PR,1,0,0
UNIAO S.JOAO/SP,0,0,1,BARBARENSE/SP,1,0,0
UNIAO S.JOAO/SP,0,0,1,CORINTHIANS/SP,1,0,0
PARAGUAI,0,1,1,COLOMBIA,1,1,0
PARAGUAI,0,0,2,ESPANHA,2,0,0
PARAGUAI,0,1,0,QATAR,0,1,0
PARAGUAI,1,0,0,BOLIVIA,0,0,1
PARAGUAI,0,0,1,COSTA RICA,1,0,0
PARAGUAI,0,1,0,EQUADOR,0,1,0
PARAGUAI,1,0,0,TRINIDAD E TOBAGO,0,0,1
PARAGUAI,0,1,0,AFRICA DO SUL,0,1,0
PARAGUAI,0,1,0,ITALIA,0,1,0
PARAGUAI,1,1,1,BRASIL,1,1,1
PARAGUAI,0,1,0,ARGENTINA,0,1,0
PARAGUAI,0,1,0,GRECIA,0,1,0
PARAGUAI,1,0,0,ESLOVAQUIA,0,0,1
PARAGUAI,1,0,0,ESLOVENIA,0,0,1
PARAGUAI,0,0,2,CHILE,2,0,0
PARAGUAI,0,1,0,NOVA ZELANDIA,0,1,0
UNIVERSITARIO,0,0,1,INDEP. DEL VALLE,1,0,0
UNIVERSITARIO,0,0,1,BOTAFOGO/RJ,1,0,0
UNIVERSITARIO,0,0,1,GOIAS/GO,1,0,0
UNIVERSITARIO,2,0,0,BARCELONA,0,0,2
UNIVERSITARIO,0,1,1,RIVER PLATE,1,1,0
AUCKLAND CITY/NZ,0,0,1,BAYERN DE MUNIQUE,1,0,0
Ferroviario ST/PE,0,0,1,SANTA CRUZ/PE,1,0,0
REAL MADRID,2,4,2,ATLETICO MADRID,2,4,2
REAL MADRID,2,0,1,CHELSEA,1,0,2
REAL MADRID,0,1,0,CADIZ,0,1,0
REAL MADRID,1,1,0,ATHLETIC BILBAO,0,1,1
REAL MADRID,2,2,1,SEVILLA,1,2,2
REAL MADRID,1,0,0,BAYERN DE MUNIQUE,0,0,1
REAL MADRID,2,1,0,RAYO VALLECANO,0,1,2
REAL MADRID,1,0,0,ATH. BILBAO,0,0,1
REAL MADRID,0,1,0,REAL BETIS,0,1,0
REAL MADRID,1,0,0,GIRONA,0,0,1
REAL MADRID,1,0,0,TENERIFE,0,0,1
REAL MADRID,0,1,0,LAS PALMAS,0,1,0
REAL MADRID,1,0,0,ESPANYOL,0,0,1
REAL MADRID,1,0,0,DORTMUND,0,0,1
REAL MADRID,0,1,0,OSASUNA,0,1,0
REAL MADRID,1,0,0,REAL VALLADOLID,0,0,1
REAL MADRID,1,1,1,MANCHESTER CITY,1,1,1
REAL MADRID,1,0,0,HUESCA,0,0,1
REAL MADRID,2,2,0,VALENCIA CLUB,0,2,2
REAL MADRID,0,0,1,DEPORTIVO,1,0,0
REAL MADRID,0,1,0,AL-HILAL,0,1,0
REAL MADRID,2,0,0,LIVERPOOL,0,0,2
REAL MADRID,2,0,0,MALAGA,0,0,2
REAL MADRID,5,1,5,BARCELONA,5,1,5
REAL MADRID,1,1,0,VILLARREAL,0,1,1
REAL MADRID,1,0,0,ATALANTA BERGAMAS,0,0,1
REAL MADRID,1,0,0,RECREATIVO,0,0,1
REAL MADRID,1,0,0,PACHUCA,0,0,1
REAL MADRID,2,1,0,CELTA DE VIGO,0,1,2
REAL MADRID,1,0,0,BETIS,0,0,1
